"manufacturer","model","year","price","odometer","condition","type","size","paint_color","fuel","transmission","cylinders"
"ram",NA,2014,0,0,NA,"other",NA,"white","diesel","automatic",NA
"gmc","sierra duramax 2500 hd all",2017,0,26208,NA,"truck",NA,"white","diesel","automatic",NA
"mercedes-benz","sprinter 2500",2017,35000,35267,"excellent","van",NA,"white","diesel","automatic","6 cylinders"
"chevrolet","malibu",2019,16988,25094,NA,"sedan",NA,"black","gas","automatic","4 cylinders"
"chevrolet","malibu",2019,19995,31991,NA,"sedan",NA,"blue","gas","automatic","4 cylinders"
"ford","transit",2015,0,122734,NA,"other",NA,"white","gas","automatic",NA
"chevrolet","equinox ls sport",2019,19990,16761,"good","other",NA,"black","other","other",NA
"chevrolet","impala",2013,7400,85000,"excellent","sedan","full-size","grey","gas","automatic","6 cylinders"
"chrysler","pt cruiser",2006,2350,167190,"excellent","wagon",NA,"blue","gas","automatic","4 cylinders"
"nissan","maxima 3.5 s",2009,3900,229000,"good",NA,NA,"black","gas","automatic","6 cylinders"
"chevrolet","camaro lt convertible",2015,22590,49940,"good","other",NA,"yellow","gas","automatic","6 cylinders"
"volkswagen","jetta",2017,160,19548,NA,"sedan",NA,NA,"gas","automatic","4 cylinders"
"lexus","gs 300",2006,9800,145408,"excellent","sedan","mid-size","red","gas","automatic","6 cylinders"
"toyota","camry",2009,7900,140000,NA,NA,NA,"silver","gas","automatic","4 cylinders"
"buick","lacrosse cx 4dr sedan",2008,3990,149003,"excellent","sedan","full-size","blue","gas","automatic","6 cylinders"
"subaru","forester",2019,24650,18786,NA,"SUV",NA,"silver","gas","other",NA
"toyota","sienna le 2011",2011,9000,115000,"excellent","SUV","full-size","green","gas","automatic","6 cylinders"
"volkswagen","touareg",2016,21901,78734,NA,"SUV","mid-size","black","gas","automatic","6 cylinders"
"buick","enclave",2009,9722,108660,NA,"SUV",NA,"white","gas","automatic",NA
"honda","accord",2002,5000,140000,"good","coupe","sub-compact","red","gas","automatic","other"
"ford","fusion",2014,6995,162000,"good","sedan","mid-size","black","gas","automatic","4 cylinders"
"chevrolet","spark ev 1lt hatchback",2014,10590,20279,"good","hatchback",NA,NA,"gas","other",NA
"toyota","camry",2018,19750,30032,NA,"sedan",NA,"red","gas","automatic","4 cylinders"
"dodge","intern",2015,0,0,NA,"other",NA,"white","diesel","other",NA
"hyundai","veloster",2014,10000,93000,NA,"coupe",NA,"blue","gas","manual","4 cylinders"
"mercury","sable",2004,2990,150266,NA,"sedan",NA,"silver","gas","automatic",NA
"infiniti","m45",2003,7445,125495,NA,"sedan","compact","silver","gas","automatic",NA
"chevrolet","silverado 2500 ltz 4x4",2006,10500,148000,"fair",NA,"full-size","green","diesel","automatic",NA
"nissan","rogue sl sport utility 4d",2018,22990,18152,"good","hatchback",NA,"silver","gas","automatic",NA
"bmw","330ci",2003,7300,75000,"good","convertible","compact","grey","gas","automatic","6 cylinders"
"nissan","titan",2011,14900,85000,"excellent",NA,NA,"white","gas","automatic",NA
NA,"international 4300",2014,22500,180,"excellent",NA,NA,NA,"diesel","automatic","6 cylinders"
